text,sentiment,urgency,categories_vector,categories_str
The FAQ section is hard to navigate.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"Oh sure, just leave the box in the pouring rain. Brilliant idea.",negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
Someone seems to have hacked my account. Please lock it immediately.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
you shipped the item to my old address even though i updated it.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The battery on my monitor is visibly swelling. What should I do?!!,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
How do I change my account email address?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
I was promised a discount but was charged the full amount.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"The laptop works fine mostly, except it literally sparked and caught fire when I plugged it in.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Bluetooth on the keyboard stopped pairing after the last update.,negative,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
It's amazing how this laptop doubles as a space heater. Too bad it won't boot up.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
My order was suddenly cancelled without any notification.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
My mouse tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
i keep getting error code 502 on the laptop. no documentation explains it.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I was promised a discount but was charged the full amount.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I returned the mouse two weeks ago but got charged again instead of receiving a refund.,negative,high,"[1, 0, 0, 0, 0, 0, 1, 0, 0]","refund_request,billing"
My charger tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
the tablet caught on fire when i plugged it in! this is dangerous!,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
i opened the box and the screen on the blender is completely shattered.,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
My phone keeps crashing every time I open the app.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
I'd like to request a refund for the keyboard I returned last week.,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
The order confirmation email had the wrong items listed.,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The battery on my keyboard is visibly swelling. What should I do?,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
What is your refund policy for digital products?,positive,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"The headphones mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Is it possible to merge two accounts?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
You charged me twice for my mouse! I need a refund right now or I'm calling my bank.,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"Great sound quality, but the casing on the keyboard melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Is it possible to merge two accounts?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"Decent performance, but the phone gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My order status has shown 'Processing' for 5 days. What is happening?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
Is it possible to merge two accounts?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"I was promised a full refund but was charged again, and support keeps ignoring my emails.",negative,high,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","billing,customer_service,refund_request"
How long does the refund process normally take?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
"I really liked the design, until it overheated and scorched my desk.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
My blender overheated and got so hot it burned my hand.!,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
I paid for overnight shipping and it's been a week. Refund my shipping costs now!,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
two-factor authentication is not sending me the code.!!,negative,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
i'd like to request a refund for the mouse i returned last week.,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
What a wonderful design: a phone that dies after an hour. Very minimalist.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"I really liked the design, until it overheated and scorched my desk.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My order was suddenly cancelled without any notification.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
there's a chemical smell coming from the laptop when it charges.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"Great sound quality, but the casing on the blender melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I returned the tablet two weeks ago but got charged again instead of receiving a refund.,negative,high,"[1, 0, 0, 0, 0, 0, 1, 0, 0]","refund_request,billing"
My charger tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
How long does the battery last on the keyboard?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Really impressive how your agent confidently gave me completely wrong information.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
the faq section is hard to navigate.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Is there a live chat option available?,neutral,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
i canceled my subscription months ago and you just billed me $100. refund immediately!,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Thanks for delivering my package to the wrong house. My neighbors appreciate the free gift.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
You charged me twice for my charger! I need a refund right now or I'm calling my bank.,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
how long does the refund process normally take?,positive,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
There's a chemical smell coming from the smartwatch when it charges.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
Is there a live chat option available?,neutral,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
I've been locked out of my account for 3 days. I have orders pending!,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
I keep getting error code 502 on the mouse. No documentation explains it.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
How do I view my order history?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"Works great overall, but there is a persistent electric burning smell from the charger.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
the mouse started smoking while charging. i'm scared to use it.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
It's slightly heavier than I expected.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
How do I view my order history?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
"Oh, I just love waiting on hold for 3 hours to be hung up on. Fantastic service!",negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
there's a scratch on the side of the monitor i just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Thanks for delivering my package to the wrong house. My neighbors appreciate the free gift.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The color of the smartwatch doesn't match the picture online.!!,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
i was transferred three times and had to repeat my issue every time.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
I can't remember my username. How do I recover it?,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
How long does the refund process normally take?,positive,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
My order status has shown 'Processing' for 5 days. What is happening?!!,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
"The blender works fine mostly, except it literally sparked and caught fire when I plugged it in.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"I was promised a full refund but was charged again, and support keeps ignoring my emails.",negative,high,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","billing,customer_service,refund_request"
is there a live chat option available?,neutral,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Is it possible to merge two accounts?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
Account recovery was super smooth. Thanks!,positive,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
Where can I download the latest driver for my device?,neutral,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My phone tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
"I was promised a full refund but was charged again, and support keeps ignoring my emails.",negative,high,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","billing,customer_service,refund_request"
There's a chemical smell coming from the charger when it charges.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
How can I track my order?,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The chatbot is useless and I can't get past it to talk to a human.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Delivery took a bit longer than I expected.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
My laptop tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
The support article didn't quite answer my specific question.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"I was promised a full refund but was charged again, and support keeps ignoring my emails.",negative,high,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","billing,customer_service,refund_request"
The battery on my mouse is visibly swelling. What should I do?,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
i haven't received my refund for the returned blender yet. it's been weeks.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I can't remember my username. How do I recover it?,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"the blender works, but the build quality feels very cheap.",negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
I haven't received my refund for the returned mouse yet. It's been weeks.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"I love the camera quality, but the battery on this keyboard is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I keep getting error code 502 on the tablet. No documentation explains it.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
The charger won't turn on after the latest firmware update.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
the new firmware update fixed all my issues. great work!,positive,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My order status has shown 'Processing' for 5 days. What is happening?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The battery on my monitor is visibly swelling. What should I do?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"The phone mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"The box had a small dent in it, though the item is fine.",negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
I've been locked out of my account for 3 days. I have orders pending!,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
I'm so thrilled that my overnight delivery managed to arrive only two weeks late.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Thanks for charging me twice and then telling me to wait 10 business days every time I contact support.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Someone seems to have hacked my account. Please lock it immediately.,negative,high,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
"it took two days to get an email reply, which is too slow.!!",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"Great sound quality, but the casing on the charger melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"Works great overall, but there is a persistent electric burning smell from the smartwatch.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Really impressive how your agent confidently gave me completely wrong information.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
The order confirmation email had the wrong items listed.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
You charged me twice for my laptop and when I called support I was put on hold for 2 hours.,negative,high,"[1, 0, 0, 1, 0, 0, 0, 0, 0]","billing,customer_service"
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"It's a beautiful headphones, but the glass shattered randomly and cut my hand.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"The box had a small dent in it, though the item is fine.",negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
There were visible sparks from the headphones power cord. Is this normal?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
Thanks for the copy-pasted email that didn't address my issue at all. Super helpful.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
The battery died after one hour of use and won't recharge. Totally defective.,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
How long does the battery last on the headphones?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"Oh, I just love waiting on hold for 3 hours to be hung up on. Fantastic service!",negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
The new firmware update fixed all my issues. Great work!,positive,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My refund request was denied without any explanation. This is unacceptable.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
"Great sound quality, but the casing on the keyboard melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I placed an order 3 hours ago and it still shows as pending.,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The monitor started smoking while charging. I'm scared to use it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
my laptop arrived two days early! great job.,positive,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
There's a scratch on the side of the tablet I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Your billing portal is incredibly easy to use.,positive,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"Wow, a $50 late fee because your website crashed. How convenient for you.",negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My order status has shown 'Processing' for 5 days. What is happening?,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
What is your refund policy for digital products?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
Two-factor authentication is not sending me the code.,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
What a wonderful design: a phone that dies after an hour. Very minimalist.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
What a wonderful design: a phone that dies after an hour. Very minimalist.,negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Can I change the size of the item in my existing order?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
What is your refund policy for digital products?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
"the box had a small dent in it, though the item is fine.",negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
What is your refund policy for digital products?,neutral,low,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I can't remember my username. How do I recover it?,negative,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
Bluetooth on the mouse stopped pairing after the last update.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
Can I get a refund to store credit instead of my original payment method?,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
My refund request was denied without any explanation. This is unacceptable.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
There's a scratch on the side of the smartwatch I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"Decent performance, but the mouse gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Tracking says my blender was delivered but it's NOT here! Did someone steal it?,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
There's a scratch on the side of the charger I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"Great sound quality, but the casing on the keyboard melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I canceled my subscription months ago and you just billed me $100. Refund immediately!,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"Decent performance, but the laptop gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My keyboard keeps crashing every time I open the app.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
"Works great overall, but there is a persistent electric burning smell from the keyboard.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
The tracking link you sent isn't working.!!,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The charger started smoking while charging. I'm scared to use it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
What are your support hours?,neutral,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
i'd like to request a refund for the tablet i returned last week.,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
My order was suddenly cancelled without any notification.,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The mouse emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
You shipped the item to my old address even though I updated it.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Delivery took a bit longer than I expected.,negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"It's a beautiful smartwatch, but the glass shattered randomly and cut my hand.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
There's a chemical smell coming from the blender when it charges.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
FRAUD! I never purchased a tablet from you but there is a charge on my credit card.,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
How do I change my account email address?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
The monitor crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
the software update bricked my device completely.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
my refund request was denied without any explanation. this is unacceptable.,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I was transferred three times and had to repeat my issue every time.!,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
The mouse crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
"Oh sure, just leave the box in the pouring rain. Brilliant idea.",negative,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"I love the camera quality, but the battery on this mouse is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Is the charger waterproof?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Thank you so much for the surprise hidden fees. Made my day.,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
Absolutely loved spending my entire lunch break listening to your hold music before the call disconnected.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Can I change the size of the item in my existing order?,neutral,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
my headphones was supposed to be here for a birthday tomorrow and it's delayed! i'm furious.,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The headphones crashes constantly and after the update the screen also has dead pixels.,negative,medium,"[0, 0, 1, 0, 1, 0, 0, 0, 0]","technical_support,product_quality"
Can I change the shipping address after the order is placed?!!,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"Great job, support team! You managed to solve absolutely nothing.",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
There's a chemical smell coming from the blender when it charges.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
How can I track my order?,neutral,low,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Is it possible to change my billing date?,neutral,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
My refund request was denied without any explanation. This is unacceptable.!!,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
The password reset link you sent me has expired.,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
FRAUD! I never purchased a charger from you but there is a charge on my credit card.,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"I really liked the design, until it overheated and scorched my desk.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
my order was suddenly cancelled without any notification.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
"The keyboard mostly works, but the battery is clearly swelling and I smell something burning.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
the monitor caught on fire when i plugged it in! this is dangerous!,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
I just love getting billed twice for the same order. Such a generous company.,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"Great sound quality, but the casing on the blender melted while charging.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I was promised a discount but was charged the full amount.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"It's a beautiful monitor, but the glass shattered randomly and cut my hand.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
There's a scratch on the side of the blender I just received.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Where can I download the latest driver for my device?,neutral,low,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
The chatbot is useless and I can't get past it to talk to a human.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
My refund request was denied without any explanation. This is unacceptable.!!,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I heard a popping sound from the phone and now it leaks a liquid.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
Is it possible to change my billing date?,neutral,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"Oh sure, just leave the box in the pouring rain. Brilliant idea.",negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
Very impressed with the fast email response.,positive,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
My order was suddenly cancelled without any notification.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
I've emailed you five times this week with no response.,negative,high,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
My headphones tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
the agent who helped me was fantastic and resolved my issue immediately.,positive,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
the software keeps freezing every few hours.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"The phone was fine for a month, then started leaking a brown liquid from the bottom.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I paid for overnight shipping and it's been a week. Refund my shipping costs now!,negative,high,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
The software keeps freezing every few hours.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
I placed an order 3 hours ago and it still shows as pending.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
The battery on my smartwatch is visibly swelling. What should I do?,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
I haven't received my refund for the returned laptop yet. It's been weeks.,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
"The blender works like a beast, although the sparks coming out of the motor were a pretty exciting bonus feature.",negative,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
